Lp;Nazwa jednostki;Regon;Kraj;Województwo;Powiat;Gmina;Miejscowo??;Kod pocztowy;Ulica;Numer budynku;Numer lokalu;Kraj;Województwo;Powiat;Gmina;Miejscowo??;Kod pocztowy;Ulica;Numer budynku;Numer lokalu;Teren dzia?ania;Telefon kontaktowy;Adres email do korespondencji;Okres dzia?ania od;Okres dzia?ania do;Liczebno?? jednostki;Okres pozostawania w gotowo?ci w ci?gu roku od 1;Okres pozostawania w gotowo?ci w ci?gu roku do 1;Czas pozostawania w gotowo?ci w ci?gu doby (w godzinach) 1;Czas osi?gni?cia gotowo?ci (w minutach) 1;Liczebno?? jednostki 1;Rodzaj jednostki;Rodzaj ratownictwa
4131;Ochotnicza Stra? Po?arna w Harcie;650900134;PL;PODKARPACKIE;rzeszowski;Dynów;Harta;36-067;;144;;PL;PODKARPACKIE;rzeszowski;Dynów;Harta;36-067;;144;;PODKARPACKIE/rzeszowski/Wszystkie;606683108;osp@harta.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;62;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4132;Ochotnicza Stra? Po?arna w Kamieniu;691541539;PL;PODKARPACKIE;rzeszowski;Kamie?;Kamie?;36-053;;370;;PL;PODKARPACKIE;rzeszowski;Kamie?;Kamie?;36-053;;370;;PODKARPACKIE/rzeszowski/Wszystkie;692122312;adam.zajc@onet.eu;;;;1 stycze?;31 grudzie?;24;pa?.24;53;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
4133;Ochotnicza Stra? Po?arna Rzeszów-S?ocina;691549860;PL;PODKARPACKIE;Rzeszów;Rzeszów;Rzeszów;35-328;ul. Ignacego Paderewskiego;154;;PL;PODKARPACKIE;Rzeszów;Rzeszów;Rzeszów;35-328;ul. Ignacego Paderewskiego;154;;PODKARPACKIE/Rzeszów/Wszystkie;723-521-434;osp328@wp.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;62;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo medyczne , Ratownictwo poszukiwawcze 
4134;Ochotnicza Stra? Po?arna w Bratkowicach ;690027830;PL;PODKARPACKIE;rzeszowski;?wilcza;Bratkowice;36-055;;400;;PL;PODKARPACKIE;rzeszowski;?wilcza;Bratkowice;36-055;;400;;PODKARPACKIE/rzeszowski/Wszystkie;48664701216;mleja@poczta.onet.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;102;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc 
4135;Ochotnicza Stra? Po?arna w Tyczynie;691688596;PL;PODKARPACKIE;rzeszowski;Tyczyn;Tyczyn;36-020;ul. Ko?ciuszki;6A;;PL;PODKARPACKIE;rzeszowski;Tyczyn;Tyczyn;36-020;ul. Ko?ciuszki;6A;;PODKARPACKIE/rzeszowski/Wszystkie;606-636-324;KRZYSZTOF@RESBRAM.COM.PL;;;;1 stycze?;31 grudzie?;24;pa?.24;43;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
4136;Ochotnicza Stra? Po?arna Rzeszów-Zalesie;691557440;PL;PODKARPACKIE;Rzeszów;Rzeszów;Rzeszów;35-601;ul. Robotnicza;15;;PL;PODKARPACKIE;Rzeszów;Rzeszów;Rzeszów;35-601;ul. Robotnicza;15;;PODKARPACKIE/rzeszowski/Wszystkie;602-158-172;dzwigj@gmail.com;;;;1 stycze?;31 grudzie?;24;pa?.24;38;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo poszukiwawcze 
4137;Ochotnicza Stra? Po?arna Chmielnik;691543627;PL;PODKARPACKIE;rzeszowski;Chmielnik;Chmielnik;36-016;;50;;PL;PODKARPACKIE;rzeszowski;Chmielnik;Chmielnik;36-016;;50;;PODKARPACKIE/rzeszowski/Wszystkie;667835189;bogdan.k07@wp.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;57;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
4138;Ochotnicza Stra? Po?arna w Bachórzu;650902570;PL;PODKARPACKIE;rzeszowski;Dynów;Bachórz;36-068;;82;;PL;PODKARPACKIE;rzeszowski;Dynów;Bachórz;36-068;;82;;PODKARPACKIE/rzeszowski/Wszystkie;694847001;ospbachorz@o2.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;49;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
4139;Ochotnicza Stra? Po?arna w Hermanowej;690638165;PL;PODKARPACKIE;rzeszowski;Tyczyn;Hermanowa;36-020;;225;;PL;PODKARPACKIE;rzeszowski;Tyczyn;Hermanowa;36-020;;225;;PODKARPACKIE/rzeszowski/Wszystkie;48 502 178 934;osphermanowa@tyczyn.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;41;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
4140;Ochotnicza Stra? Po?arna w Trzcianie;180051182;PL;PODKARPACKIE;rzeszowski;?wilcza;Trzciana;36-071;;140A;;PL;PODKARPACKIE;rzeszowski;?wilcza;Trzciana;36-071;;140A;;PODKARPACKIE/rzeszowski/Wszystkie;504 240 097, 601 416 456;tomekkwoka@o2.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;79;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
4141;Ochotnicza Stra? Po?arna Rzeszów-Wilkowyja;180165939;PL;PODKARPACKIE;Rzeszów;Rzeszów;Rzeszów;35-614;ul. Jana Olbrachta;120;;PL;PODKARPACKIE;Rzeszów;Rzeszów;Rzeszów;35-614;ul. Jana Olbrachta;120;;PODKARPACKIE/rzeszowski/Wszystkie;733533529  603376621;ospwilkowyja@wp.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;32;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo ekologiczne 
4142;Ochotnicza Stra? Po?arna Stobierna;691741066;PL;PODKARPACKIE;rzeszowski;Trzebownisko;Stobierna;36-002;;347;;PL;PODKARPACKIE;rzeszowski;Trzebownisko;Stobierna;36-002;;347;;PODKARPACKIE/rzeszowski/Wszystkie;609-522-335;osp.stobierna@gmail.com;;;;1 stycze?;31 grudzie?;24;pa?.24;79;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
4143;Ochotnicza Stra? Po?arna w Dyl?gówce;691531417;PL;PODKARPACKIE;rzeszowski;Hy?ne;Dyl?gówka;36-025;;278;;PL;PODKARPACKIE;rzeszowski;Hy?ne;Dyl?gówka;36-025;;278;;PODKARPACKIE/rzeszowski/Wszystkie;698 474 478;ospdylagowka@gmail.com;;;;1 stycze?;31 grudzie?;24;pa?.24;72;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
4144;Ochotnicza Stra? Po?arna Nosówka;690710052;PL;PODKARPACKIE;rzeszowski;Boguchwa?a;Nosówka;36-046;;148;;PL;PODKARPACKIE;rzeszowski;Boguchwa?a;Nosówka;36-046;;148;;PODKARPACKIE/rzeszowski/Wszystkie;662 117 929;milek_michal@interia.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;38;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4145;Komenda Powiatowa Policji w Mielcu;6,90317E+13;PL;PODKARPACKIE;mielecki;Mielec;Mielec;39-300;ul. Wyspia?skiego;8;;PL;PODKARPACKIE;mielecki;Mielec;Mielec;39-300;ul. Wyspia?skiego;8;;PODKARPACKIE/mielecki/Mielec (gmina miejska);Dy?urny KWP w Rzeszowie 17 8582 310, 17 8582 31, 510 997 000;mielec@rz.policja.gov.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;262;Policja;Kwalifikowana pierwsza pomoc 
4146;Komenda Powiatowa Policji w Ropczycach;6,90317E+13;PL;PODKARPACKIE;ropczycko-s?dziszowski;Ropczyce;Ropczyce;39-100;ul. Józefa Pi?sudskiego;22;;PL;PODKARPACKIE;ropczycko-s?dziszowski;Ropczyce;Ropczyce;39-100;ul. Józefa Pi?sudskiego;22;;PODKARPACKIE/ropczycko-s?dziszowski/Ropczyce (miasto);Dy?urny KWP w Rzeszowie 17 8582 310, 17 8582 31, 510 997 000;ropczyce@rz.policja.gov.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;123;Policja;Kwalifikowana pierwsza pomoc 
4147;Morskie Pomocnicze Centrum Koordynacyjne;192634129;PL;POMORSKIE;Gdynia;Gdynia;Gdynia;81-340;ul. Nabrze?e W?adys?awa IV;1;;PL;ZACHODNIOPOMORSKIE;?winouj?cie;?winouj?cie;?winouj?cie;72-600; ul. Nabrze?e W?adys?awa IV;1;;Wszystkie;(91) 321 49 17 (58) 620 55 51;polratok.2@sar.gov.pl;;;;1 stycze?;31 grudzie?;24;15/24;6;Grupa ratownictwa morskiego;Kwalifikowana pierwsza pomoc , Ratownictwo morskie 
4148;Morska Stacja Ratownicza Ko?obrzeg;192634129;PL;POMORSKIE;Gdynia;Gdynia;Gdynia;81-340;ul. A. Hryniewickiego;10;;PL;ZACHODNIOPOMORSKIE;ko?obrzeski;Ko?obrzeg;Ko?obrzeg;78-100;ul. Warzelnicza;7;;Wszystkie;(58)6205551;polratok.1@sar.gov.pl;;;;1 stycze?;31 grudzie?;24;15/24;4;Grupa ratownictwa morskiego;Kwalifikowana pierwsza pomoc , Ratownictwo morskie 
4149;Morska Stacja Ratownicza Dziwnów;192634129;PL;POMORSKIE;Gdynia;Gdynia;Gdynia;81-340;ul. A. Hryniewickiego;10;;PL;ZACHODNIOPOMORSKIE;kamie?ski;Dziwnów;Dziwnów;72-420;ul. Osiedle Rybackie;16;;Wszystkie;(58) 6205551 (91)3214917;polratok.1@sar.gov.pl;;;;1 stycze?;31 grudzie?;24;15/24;4;Grupa ratownictwa morskiego;Kwalifikowana pierwsza pomoc , Ratownictwo morskie 
4150;Komenda Miejska Pa?stwowej Stra?y Po?arnej w Rzeszowie JRG 2;867880;PL;PODKARPACKIE;Rzeszów;Rzeszów;Rzeszów;35-078;ul. Hetma?ska;120;;PL;PODKARPACKIE;Rzeszów;Rzeszów;Rzeszów;35-078;ul. Hetma?ska;120;;Wszystkie;178542350;kmrzeszow@podkarpacie.straz.pl;;;;1 stycze?;31 grudzie?;24;sty.24;1;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
4151;Ochotnicza Stra? Po?arna w B?a?owej;691777029;PL;PODKARPACKIE;rzeszowski;B?a?owa;B?a?owa;36-030; Partyzatów;1;;PL;PODKARPACKIE;rzeszowski;B?a?owa;B?a?owa;36-030; Partyzatów;1;;PODKARPACKIE/rzeszowski/Wszystkie;608336561;jmp@intertele.pl;;;;1 stycze?;31 grudzie?;24;pa?.24;46;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
4152;Ochotnicza Stra? Po?arna Rzeszów Przybyszówka;690213885;PL;PODKARPACKIE;Rzeszów;Rzeszów;Rzeszów;35-213;ul. D?bicka;170;;PL;PODKARPACKIE;Rzeszów;Rzeszów;Rzeszów;35-213;ul. D?bicka;170;;PODKARPACKIE/rzeszowski/Wszystkie;605394065;straz.przybyszowka@gmail.com;;;;1 grudzie?;31 grudzie?;24;pa?.24;35;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne 
4153;Grupa Wsparcia Medycznego Fundacji Wsparcia Ratownictwa RK;146350936;PL;MAZOWIECKIE;Warszawa;Mokotów;Warszawa;02-682;ul. Bokserska;38;45;PL;MAZOWIECKIE;Warszawa;?ródmie?cie;Warszawa;00-065;ul. Królewska;2;;MAZOWIECKIE/Wszystkie;508 164 536, 605 172 114;fundacjaRK@gmail.com;;;;1 stycze?;31 grudzie?;1;30/24;35;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo medyczne 
4154;ERMED- na  rzecz dzieci poszkodowanych w wypadkach komunikacyjnych;384161889;PL;DOLNO?L?SKIE;Wroc?aw;Wroc?aw-Fabryczna;Wroc?aw;54-156;ul. Stargardzka;8a;;PL;DOLNO?L?SKIE;Wroc?aw;Wroc?aw-Fabryczna;Wroc?aw;54-156;ul. Stargardzka;8a;;DOLNO?L?SKIE/Wroc?aw/Wszystkie, DOLNO?L?SKIE/wroc?awski/Wszystkie, DOLNO?L?SKIE/?redzki/Wszystkie;888-486-999;fundacja@ermed.eu;;;;1 stycze?;31 grudzie?;24;30/24;7;Organizacja spo?eczna;Kwalifikowana pierwsza pomoc , Ratownictwo medyczne 
4155;JRG 1 KM PSP Rzeszów;867880;PL;PODKARPACKIE;Rzeszów;Rzeszów;Rzeszów;35-016;ul. Maurycego Mochnackiego;4;;PL;PODKARPACKIE;Rzeszów;Rzeszów;Rzeszów;35-016;ul. Maurycego Mochnackiego;4;;Wszystkie;17 85 23 303;kmrzeszow@podkarpacie.straz.pl;;;;1 stycze?;31 grudzie?;24;sty.24;85;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
4156;JRG PSP Kostrzyn n/O;210971043;PL;LUBUSKIE;gorzowski;Kostrzyn nad Odr?;Kostrzyn nad Odr?;66-470;ul. Gorzowska;1;;PL;LUBUSKIE;gorzowski;Kostrzyn nad Odr?;Kostrzyn nad Odr?;66-470;ul. Gorzowska;1;;LUBUSKIE/gorzowski/Kostrzyn nad Odr? (gmina miejska);957 338 400;jrg3@strazgorzow.pl;;;;;;24;30/24;33;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4157;Ochotnicza Stra? Po?arna  w Ró?ankach;80163671;PL;LUBUSKIE;gorzowski;K?odawa;Ró?anki;66-415;ul. Niepodleg?o?ci;6;;PL;LUBUSKIE;gorzowski;K?odawa;Ró?anki;66-415;ul. Niepodleg?o?ci;6;;LUBUSKIE/Wszystkie;957 338 400;bok@klodawa.pl;;;;;;24;30/24;26;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4158;Ochotnicza Stra? Po?arna  w Bogda?cu ;211208272;PL;LUBUSKIE;gorzowski;Bogdaniec;Bogdaniec;66-450;ul. Mickiewicza;41;;PL;LUBUSKIE;gorzowski;Bogdaniec;Bogdaniec;66-450;ul. Mickiewicza;41;;LUBUSKIE/gorzowski/Bogdaniec (gmina wiejska);957 338 400;urzad@bogdaniec.pl;;;;;;24;30/24;32;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4159;Ochotnicza Stra? Po?arna  w Mo?cicach;211270236;PL;LUBUSKIE;gorzowski;Witnica;Mo?cice;66-460;;11;a;PL;LUBUSKIE;gorzowski;Witnica;Mo?cice;66-460;;11;A;LUBUSKIE/gorzowski/Witnica (gmina miejsko-wiejska);957 338 400;urzad@witnica.pl;;;;;;24;30/24;37;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4160;Ochotnicza Stra? Po?arna  w Lubiszynie ;80219638;PL;LUBUSKIE;gorzowski;Lubiszyn;Lubiszyn;66-433;ul. My?liborska;18;;PL;LUBUSKIE;gorzowski;Lubiszyn;Lubiszyn;66-433; My?liborska;18;;LUBUSKIE/gorzowski/Lubiszyn (gmina wiejska);957 338 400;urzad@lubiszyn.pl;;;;;;24;30/24;19;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4161;Ochotnicza Stra? Po?arna  w Janczewie ;80398954;PL;LUBUSKIE;gorzowski;Santok;Janczewo;66-431;;92;;PL;LUBUSKIE;gorzowski;Santok;Janczewo;66-431;;92;;LUBUSKIE/gorzowski/Santok (gmina wiejska);957 338 400;urzad@santok.pl;;;;;;24;30/24;22;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4162;Ochotnicza Stra? Po?arna  w Lipkach Wielkich ;80273827;PL;LUBUSKIE;gorzowski;Santok;Lipki Wielkie;66-544;ul. Szosowa;46;;PL;LUBUSKIE;gorzowski;Santok;Lipki Wielkie;66-544;ul. Szosowa;46;;LUBUSKIE/gorzowski/Santok (gmina wiejska);957338400;urzad@santok.pl;;;;;;24;30/24;14;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4163;Ochotnicza Stra? Po?arna  w Kostrzynie n/Odr? ;210981484;PL;LUBUSKIE;gorzowski;Kostrzyn nad Odr?;Kostrzyn nad Odr?;66-470;ul. Gorzowska;1;;PL;LUBUSKIE;gorzowski;Kostrzyn nad Odr?;Kostrzyn nad Odr?;66-470;ul. Gorzowska;1;;LUBUSKIE/Wszystkie;957338400;promocja@kostrzyn.um.gov.pl;;;;;;24;30/24;33;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4164;Ochotnicza Stra? Po?arna w K?odawie;311497149;PL;LUBUSKIE;gorzowski;K?odawa;K?odawa;66-415;ul. Ko?cielna;10;;PL;LUBUSKIE;gorzowski;K?odawa;K?odawa;66-415;ul. Ko?cielna;10;;LUBUSKIE/Wszystkie;957 338 400;bok@klodawa.pl;;;;;;24;30/24;42;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4165;Ochotnicza Stra? Po?arna  w Witnicy;310135964;PL;LUBUSKIE;gorzowski;Witnica;Witnica;66-460;ul. ?wirowa;2;a;PL;LUBUSKIE;gorzowski;Witnica;Witnica;66-460;ul. ?wirowa;2;a;LUBUSKIE/gorzowski/Kostrzyn nad Odr? (gmina miejska);957515116;urzad@witnica.pl;;;;;;24;30/24;41;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
4166;Ochotnicza Stra? Po?arna w Deszcznie;211020960;PL;LUBUSKIE;gorzowski;Deszczno;Deszczno;66-446;ul. Stra?acka;6;;PL;LUBUSKIE;gorzowski;Deszczno;Deszczno;66-446;ul. Stra?acka;6;;LUBUSKIE/Wszystkie;957338400;gmina@deszczno.pl;;;;;;24;30/24;28;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4167;Ochotnicza Stra? Po?arna  Santocko;80091026;PL;LUBUSKIE;gorzowski;K?odawa;Santocko;66-415;;11;;PL;LUBUSKIE;gorzowski;K?odawa;Santocko;66-415;;11;;LUBUSKIE/Wszystkie;957338424;sekretariat@klodawa.pl;;;;;;24;30/24;44;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4168;Komenda Wojewódzka PSP w Gorzowie Wlkp;210037733;PL;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;Gorzów Wielkopolski;66-400;ul. kard. Stefana Wyszy?skiego;64;;PL;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;Gorzów Wielkopolski;66-400;ul. kard. Stefana Wyszy?skiego;64;;Wszystkie;957338300;komenda@straz.gorzow.pl;;;;;;24;30/24;73;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc 
4169;KM PSP Gorzów Wlkp. JRG PSP 2 Gorzów Wlkp.;210971043;PL;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;Gorzów Wielkopolski;66-400;ul. gen. Jaros?awa D?browskiego;3;;PL;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;Gorzów Wielkopolski;66-400;ul. gen. Jaros?awa D?browskiego;3;;LUBUSKIE/Wszystkie;957338400;kmpspgorzow@straz.gorzow.pl;;;;;;24;30/24;27;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne , Ratownictwo górskie i wysokogórskie 
4170;Ochotnicza Stra? Po?arna w Radomicku;971266737;PL;LUBUSKIE;kro?nie?ski;Maszewo;Radomicko;66-614;;19;;PL;LUBUSKIE;kro?nie?ski;Maszewo;Radomicko;66-614;;19;;LUBUSKIE/Wszystkie;697934217;kwater@krosnoosp.com.pl;;;;;;24;30/24;62;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4171;JRG PSP 1 Gorzów Wlkp.;210971043;PL;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;Gorzów Wielkopolski;66-400;ul. Franciszka Walczaka;108;;PL;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;Gorzów Wielkopolski;66-400;ul. Franciszka Walczaka;108;;Wszystkie;957338400;msk@strazgorzow.pl;;;;;;24;30/24;54;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
4172;Ochotnicza Stra? Po?arna w Stru?ce;971303697;PL;LUBUSKIE;kro?nie?ski;Bobrowice;Stru?ka;66-627;;28;a;PL;LUBUSKIE;kro?nie?ski;Bobrowice;Stru?ka;66-627;;28;a;LUBUSKIE/Wszystkie;683835076;urzad@maszewo.pl;;;;;;24;30/24;31;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4173;KP PSP Krosno Odrz. JRG PSP Krosno Odrz.;971181739;PL;LUBUSKIE;kro?nie?ski;Krosno Odrza?skie;Krosno Odrza?skie;73-860;ul. Sienkiewicza;2A;;PL;LUBUSKIE;kro?nie?ski;Krosno Odrza?skie;Krosno Odrza?skie;73-860;ul. Sienkiewicza;2A;;Wszystkie;683 830 103;kppspkrosno@straz.gorzow.pl;;;;;;24;30/24;14;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne 
4174;Ochotnicza Stra? Po?arna w Radnicy;970644960;PL;LUBUSKIE;kro?nie?ski;Krosno Odrza?skie;Radnica;66-600;;110;a;PL;LUBUSKIE;kro?nie?ski;Krosno Odrza?skie;Radnica;66-600;;110;a;LUBUSKIE/Wszystkie;504738519;kwater@krosnoosp.com.pl;;;;;;24;30/24;29;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4175;Ochotnicza Stra? Po?arna w W??yskach;971256911;PL;LUBUSKIE;kro?nie?ski;Krosno Odrza?skie;W??yska;66-600;;77/a;;PL;LUBUSKIE;kro?nie?ski;Krosno Odrza?skie;W??yska;66-600;;77/a;;LUBUSKIE/Wszystkie;683835076;kppspkrosno@straz.gorzow.pl;;;;;;24;30/24;28;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4176;Ochotnicza Stra? Po?arna  Starosiedle;971265407;PL;LUBUSKIE;kro?nie?ski;Gubin;Starosiedle;66-620;;31;;PL;LUBUSKIE;kro?nie?ski;Gubin;Starosiedle;66-620;;41;;LUBUSKIE/Wszystkie;683835076;kppspkrosno@straz.gorzow.pl;;;;;;24;30/24;22;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4177;Ochotnicza Stra? Po?arna w Budachowie;977947450;PL;LUBUSKIE;kro?nie?ski;Bytnica;Budachów;66-630;;52;;PL;LUBUSKIE;kro?nie?ski;Bytnica;Budachów;66-630;;52;;LUBUSKIE/Wszystkie;683835076;kwater@krosnopsp.com.pl;;;;;;24;30/24;19;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4178;Ochotnicza Stra? Po?arna w D?biu ;977896847;PL;LUBUSKIE;kro?nie?ski;D?bie;D?bie;66-415;ul. Szeroka;6;b;PL;LUBUSKIE;kro?nie?ski;D?bie;D?bie;66-415;ul. Szeroka;6;b;LUBUSKIE/Wszystkie;683835076;kppspkrosno@straz.gorzow.pl;;;;;;24;30/24;18;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4179;JRG PSP w Gubinie;971181739;PL;LUBUSKIE;kro?nie?ski;Gubin;Gubin;66-620;ul. Ko???taja;22;;PL;LUBUSKIE;kro?nie?ski;Gubin;Gubin;66-620;ul. Ko???taja;22;;Wszystkie;684558230;gubinpsp@poczta.onet.pl;;;;1 stycze?;31 grudzie?;24;30/24;33;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne 
4180;Ochotnicza Stra? Po?arna w Bytnicy;977942553;PL;LUBUSKIE;kro?nie?ski;Bytnica;Bytnica;66-630;;1;;PL;LUBUSKIE;kro?nie?ski;Bytnica;Bytnica;66-630;;1;;LUBUSKIE/kro?nie?ski/Wszystkie;95683835076;kwater@krosnopsp.com.pl;;;;;;24;30/24;25;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4181;Ochotnicza Stra? Po?arna  Bobrowice;971303674;PL;LUBUSKIE;kro?nie?ski;Bobrowice;Bobrowice;66-627;;70A;;PL;LUBUSKIE;kro?nie?ski;Bobrowice;Bobrowice;66-627;;70A;;LUBUSKIE/Wszystkie;683835076;kwatewr@krosnopsp.com.pl;;;;;;24;30/24;44;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4182;Ochotnicza Stra? Po?arna  Szczawno;971265034;PL;LUBUSKIE;kro?nie?ski;D?bie;Szczawno;66-615;ul. Parkowa;5;;PL;LUBUSKIE;kro?nie?ski;D?bie;Szczawno;66-615;ul. Parkowa;5;;Wszystkie;683835076;kppspkrosno@straz.gorzow.pl;;;;1 stycze?;31 grudzie?;24;30/24;30;Ochotnicza Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów 
4183;KP PSP Mi?dzyrzecz JRG PSP Mi?dzyrzecz;210467008;PL;LUBUSKIE;mi?dzyrzecki;Mi?dzyrzecz;Mi?dzyrzecz;66-300;ul. Rokitnia?ska;1;;PL;LUBUSKIE;mi?dzyrzecki;Mi?dzyrzecz;Mi?dzyrzecz;66-300;ul. Rokitnia?ska;1;;Wszystkie;957426620;kppspmiedzyrzecz@straz.gorzow.pl;;;;;;24;30/24;48;Pa?stwowa Stra? Po?arna;Kwalifikowana pierwsza pomoc , Ratownictwo podczas po?arów , Ratownictwo techniczne , Ratownictwo chemiczne , Ratownictwo ekologiczne , Ratownictwo medyczne 
